p0_1,p0_2,p0_3,p0_4,p0_5,p0_6,p0_7,p0_8,p*_1,p*_2,p*_3,p*_4,p*_5,p*_6,p*_7,p*_8,p*-p0_1,p*-p0_2,p*-p0_3,p*-p0_4,p*-p0_5,p*-p0_6,p*-p0_7,p*-p0_8
0.1485691252847355,0.13188864726181515,0.16442884097296165,0.11644156952356227,0.15142828106905057,0.04527718442895966,0.1540096561947505,0.08795669526416458,0.1485691252847946,0.13188864726186822,0.16442884097302718,0.11644156952635747,0.15142828106596315,0.04527718442897825,0.15400965619481116,0.08795669526420001,5.909162048567396e-14,5.306866057708248e-14,6.553091402849986e-14,2.795194631310949e-12,-3.087419209180098e-12,1.8589296768567465e-14,6.06736882957648e-14,3.542999227335031e-14
0.16357158269021127,0.24305579909376257,0.0798355011636145,0.0780937337406254,0.13982937593225025,0.06503499361894428,0.09952749289982586,0.13105152086076574,0.1635715767274019,0.2430558429329781,0.07983550246645431,0.07809368859592485,0.1398294576110666,0.06503503745860695,0.09952737812413213,0.1310515160834351,-5.962809357384913e-9,4.3839215535523834e-8,1.302839808259293e-9,-4.51447005611616e-8,8.167881634935092e-8,4.3839662663969214e-8,-1.1477569372697616e-7,-4.777330642191657e-9
0.1558097747108463,0.09633298618033607,0.09926402509324132,0.10637929770552916,0.1048314424505363,0.09101677576191225,0.048139343426066225,0.2982263546715323,0.1558097747107577,0.09633298618148098,0.09926402509395808,0.10637929770675005,0.10483144244834147,0.0910167757620031,0.04813934342611431,0.2982263546705943,-8.862355294070312e-14,1.1449036163568849e-12,7.167599846980011e-13,1.220884504604669e-12,-2.1948276529570876e-12,9.084399898995343e-14,4.808653475407709e-14,-9.380274335057948e-13
0.13993451461799467,0.18071611266905885,0.13055905461796724,0.11191681524208143,0.1150507446682118,0.07871287298726527,0.10260544288656413,0.14050444231085665,0.13993451461357273,0.18071611267264484,0.13055905461812745,0.1119168152422195,0.11505074466835297,0.07871287298736256,0.10260544288669052,0.14050444231102943,-4.421935040355152e-12,3.58599261396364e-12,1.602051824534101e-13,1.3807011089994603e-13,1.4116485758108865e-13,9.728329253277934e-14,1.2638501356576626e-13,1.7277845820728999e-13
0.2637844409415766,0.05890637315984268,0.1315764850052414,0.1607904181491768,0.08648149879155553,0.15724570999314263,0.05312093541602644,0.08809413854343794,0.26378444094198666,0.05890637315993475,0.1315764849994541,0.16079041815362405,0.08648149879211338,0.15724570999462886,0.053120935414681776,0.08809413854357655,4.1006087414530157e-13,9.207218321094501e-14,-5.787315071614785e-12,4.447248125316605e-12,5.578454365107177e-13,1.4862278074900814e-12,-1.3446604940625662e-12,1.386113446244508e-13
0.12038608012063326,0.0779795365460994,0.18807493041907364,0.13166892836339036,0.16833282255589554,0.03277493511564032,0.11592867321322653,0.16485409366604092,0.12038608012064017,0.07797953654607706,0.18807493042117776,0.1316689283633525,0.16833282255398221,0.03277493511563091,0.1159286732131933,0.1648540936659461,6.9111383282915995e-15,-2.2343238370581275e-14,2.1041224318452123e-12,-3.785860513971784e-14,-1.913330605063379e-12,-9.409140133698202e-15,-3.322342401190781e-14,-9.481304630298837e-14
0.0588945056875299,0.09109339813078764,0.20290268256766505,0.12267728184264735,0.14399595222105993,0.1376836554148339,0.15543860490758243,0.08731391922789368,0.05889450568876914,0.09109339813095484,0.20290268256124722,0.12267728184865094,0.14399595221919223,0.1376836554164844,0.1554386049078681,0.08731391922683313,1.2392378789805036e-12,1.6719958750854857e-13,-6.417838482875027e-12,6.003586516811765e-12,-1.8677004387512852e-12,1.6504853039833733e-12,2.856603842360528e-13,-1.0605544220609886e-12
0.06256022362527416,0.1603892500763489,0.15335779118369075,0.13181467176851291,0.12712594748809447,0.054165728214271895,0.1411060999373503,0.16948028770645673,0.06256022362712237,0.1603892500756252,0.1533577911835999,0.1318146717694853,0.12712594748657433,0.054165728215511064,0.14110609993750872,0.16948028770457296,1.848202146881306e-12,-7.236988786019083e-13,-9.084399898995343e-14,9.723888361179434e-13,-1.52014512089238e-12,1.2391684900414646e-12,1.5842882561400984e-13,-1.8837709170327344e-12
0.0966997195113873,0.06461655067975666,0.23065628027371662,0.1297255424249517,0.06060216552798628,0.0903873856160443,0.2614825251000084,0.06582983086614884,0.09669971951391329,0.0646165506797899,0.23065628027096172,0.1297255424271909,0.060602165528649894,0.09038738561609089,0.2614825251001431,0.06582983086326015,2.525993303414964e-12,3.3237301799715624e-14,-2.7549074133048634e-12,2.2391810627908626e-12,6.636149962879756e-13,4.658773367083313e-14,1.346700528870315e-13,-2.888689287772195e-12
0.20557342014605082,0.09578747673725119,0.07189470564259878,0.16925381000356532,0.08156381285117362,0.14287980110140458,0.11222819324162527,0.12081878027633057,0.20557341869187917,0.09578747750947626,0.07189470552816574,0.16925381458199065,0.08156381362034444,0.1428797986220283,0.11222819136209013,0.12081878008402523,-1.4541716442106889e-9,7.722250755515248e-10,-1.1443304637204221e-10,4.578425333301439e-9,7.691708242552053e-10,-2.4793762876118564e-9,-1.8795351386380332e-9,-1.923053383201534e-10
