p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
1.0,0.0,7.0,5.0,0.016000032424926758
1.0,0.0,3.0,1.0,0.0
1.0,0.0,7.0,5.0,0.016000032424926758
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,0.0,8.0,6.0,0.019999980926513672
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,7.0,5.0,0.01399993896484375
0.0,0.06440890833485637,11.0,9.0,0.007999897003173828
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,3.0437618030245504e-6,7.0,5.0,0.021000146865844727
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,8.0,6.0,0.007999897003173828
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.014000177383422852
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,0.0,7.0,5.0,0.020999908447265625
1.0,0.0,3.0,1.0,0.003000020980834961
1.0,0.0,8.0,6.0,0.019999980926513672
1.0,0.0,3.0,1.0,0.002000093460083008
0.0,0.015629785414364744,12.0,10.0,0.029999971389770508
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.0010001659393310547
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.1495462178119087,13.0,11.0,0.007999897003173828
0.0,0.0259997938098866,8.0,6.0,0.023999929428100586
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.0010001659393310547
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.003000020980834961
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.5711733424468369,16.0,14.0,0.009999990463256836
0.0,0.10148657728715038,19.0,17.0,0.04399991035461426
1.0,0.0,8.0,6.0,0.006000041961669922
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
