p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,0.12171223124120158,16.0,14.0,0.03400015830993652
0.0,0.00555311013371057,16.0,14.0,0.017999887466430664
1.0,0.0,9.0,7.0,0.02500009536743164
0.0,0.00045657588162617834,12.0,10.0,0.01699995994567871
1.0,0.0,3.0,1.0,0.0019998550415039062
0.0,0.09197906835019246,14.0,12.0,0.006000041961669922
1.0,0.0,3.0,1.0,0.016000032424926758
1.0,0.0,3.0,1.0,0.003000020980834961
0.0,0.34218437554508513,17.0,15.0,0.023000001907348633
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,9.0,7.0,0.006000041961669922
1.0,0.0,3.0,1.0,0.0
0.0,0.017358265958364726,13.0,11.0,0.029000043869018555
1.0,0.0,3.0,1.0,0.0019998550415039062
0.0,0.24422995124088043,17.0,15.0,0.016000032424926758
1.0,0.0,3.0,1.0,0.0
1.0,0.0,9.0,7.0,0.02200007438659668
1.0,0.0,9.0,7.0,0.009999990463256836
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.02071290996439387,13.0,11.0,0.010999917984008789
1.0,0.0,10.0,8.0,0.018000125885009766
1.0,0.0,8.0,6.0,0.009000062942504883
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.058008279429184365,16.0,14.0,0.019999980926513672
1.0,0.0,11.0,9.0,0.023000001907348633
0.0,0.0435291731520557,17.0,15.0,0.023000001907348633
1.0,0.0,3.0,1.0,0.0010001659393310547
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,8.0,6.0,0.0
0.0,0.049536069256724054,14.0,12.0,0.026999950408935547
0.0,0.00997718172521064,11.0,9.0,0.013000011444091797
1.0,0.0,8.0,6.0,0.00800013542175293
0.0,0.017768077586727445,11.0,9.0,0.0009999275207519531
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.01699995994567871
1.0,0.0,3.0,1.0,0.002000093460083008
0.0,0.06196401266338099,13.0,11.0,0.015999794006347656
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,9.0,7.0,0.009000062942504883
1.0,0.0,3.0,1.0,0.0010001659393310547
0.0,0.1386407328947031,18.0,16.0,0.02499985694885254
0.0,0.03466375652229583,12.0,10.0,0.014999866485595703
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.07452423624634326,13.0,11.0,0.006000041961669922
1.0,0.0,3.0,1.0,0.0
1.0,0.0,3.0,1.0,0.0
1.0,0.0,9.0,7.0,0.02500009536743164
1.0,0.0,8.0,6.0,0.009000062942504883
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,3.0,1.0,0.0019998550415039062
1.0,0.0,3.0,1.0,0.002000093460083008
1.0,0.0,3.0,1.0,0.0009999275207519531
0.0,0.6949629214045392,16.0,14.0,0.006999969482421875
1.0,0.0,3.0,1.0,0.016000032424926758
0.0,0.03717547074947955,17.0,15.0,0.024000167846679688
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,0.0,8.0,6.0,0.00800013542175293
0.0,0.003085917574998542,12.0,10.0,0.01699995994567871
0.0,0.04560174737888599,25.0,23.0,0.03399991989135742
1.0,0.0,9.0,7.0,0.02200007438659668
1.0,0.0,8.0,6.0,0.010999917984008789
1.0,0.0,3.0,1.0,0.0010001659393310547
0.0,0.0007948941505340399,13.0,11.0,0.013000011444091797
0.0,0.08127217164048983,14.0,12.0,0.029000043869018555
1.0,0.0,3.0,1.0,0.0009999275207519531
1.0,5.174668369342927e-5,10.0,8.0,0.012000083923339844
0.0,0.00020383405870940405,10.0,8.0,0.006999969482421875
0.0,0.23066203299496368,18.0,16.0,0.029999971389770508
1.0,0.0,11.0,9.0,0.016000032424926758
1.0,0.0,8.0,6.0,0.003999948501586914
1.0,0.0,3.0,1.0,0.0
1.0,0.0,9.0,7.0,0.01900005340576172
1.0,0.0,10.0,8.0,0.012999773025512695
1.0,0.0,8.0,6.0,0.009000062942504883
0.0,0.00021412539235645122,12.0,10.0,0.006999969482421875
0.0,0.422543259886894,18.0,16.0,0.03299999237060547
0.0,0.04701295430131473,17.0,15.0,0.026000022888183594
0.0,0.07372472286851776,12.0,10.0,0.006999969482421875
1.0,0.0,3.0,1.0,0.0
0.0,0.0005327463629537115,9.0,7.0,0.021999835968017578
