p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,1.0120420078961485,41.0,37.0,0.08100008964538574
0.0,0.6321712947985206,37.0,33.0,0.07399988174438477
0.0,1.6600452686809315,33.0,29.0,0.046000003814697266
0.0,1.378604426928042,37.0,33.0,0.04700016975402832
0.0,1.5974914459959852,32.0,28.0,0.05299997329711914
0.0,1.7655956994508897,34.0,30.0,0.05200004577636719
0.0,0.16519039306058853,27.0,23.0,0.046000003814697266
0.0,1.6216195942877811,36.0,32.0,0.05300021171569824
1.0,3.051488135281052e-5,21.0,17.0,0.023000001907348633
0.0,0.31761566249761025,37.0,33.0,0.05099987983703613
0.0,1.1537107029505576,39.0,35.0,0.06500005722045898
0.0,0.49844269127284785,33.0,29.0,0.04900002479553223
0.0,1.5091051964950768,34.0,30.0,0.06099987030029297
0.0,0.9813779902276496,40.0,36.0,0.06299996376037598
0.0,0.49979427973248397,32.0,28.0,0.042999982833862305
0.0,0.30968436573622765,25.0,21.0,0.042999982833862305
0.0,0.4132325795269907,37.0,33.0,0.05500006675720215
0.0,1.1951117726365876,33.0,29.0,0.0559999942779541
0.0,0.8705901476144475,32.0,28.0,0.056999921798706055
1.0,0.001718488161069391,13.0,9.0,0.023000001907348633
0.0,0.0021203756785141254,26.0,22.0,0.04900002479553223
0.0,0.8470414697183656,28.0,24.0,0.04500007629394531
1.0,0.00018835359628584542,11.0,7.0,0.013000011444091797
0.0,0.6520336178059344,37.0,33.0,0.06200003623962402
0.0,0.6594289162713859,31.0,27.0,0.04900002479553223
0.0,1.595055629415977,31.0,27.0,0.054000139236450195
0.0,1.5655694391746136,38.0,34.0,0.07799983024597168
0.0,0.8283185923760306,33.0,29.0,0.05299997329711914
0.0,0.7985493875131466,36.0,32.0,0.06099987030029297
0.0,0.7305454106441813,38.0,34.0,0.054000139236450195
0.0,0.9659566643356887,28.0,24.0,0.05099987983703613
0.0,0.848280071970303,34.0,30.0,0.07700014114379883
0.0,0.16663574865909236,19.0,15.0,0.03500008583068848
0.0,0.028774464096697927,25.0,21.0,0.03399991989135742
0.0,0.601336694556332,33.0,29.0,0.07599997520446777
0.0,0.6150988855831742,36.0,32.0,0.07500004768371582
0.0,0.19954780811017997,21.0,17.0,0.03600001335144043
0.0,0.6553017881323149,29.0,25.0,0.042999982833862305
0.0,1.3445182921961236,30.0,26.0,0.05900001525878906
0.0,0.6304291609244731,30.0,26.0,0.05000019073486328
0.0,0.15728225569720583,36.0,32.0,0.056999921798706055
0.0,0.4312752308448342,25.0,21.0,0.04200005531311035
0.0,0.6083328369426366,27.0,23.0,0.039999961853027344
0.0,1.0197297982982998,33.0,29.0,0.05200004577636719
1.0,0.0064354094603086545,17.0,13.0,0.016000032424926758
1.0,0.0014138602310718828,20.0,16.0,0.04999995231628418
0.0,0.33731548431477815,34.0,30.0,0.04900002479553223
0.0,1.1829017723746058,34.0,30.0,0.04999995231628418
0.0,0.3052172090339664,36.0,32.0,0.06600022315979004
0.0,0.5888340907539016,28.0,24.0,0.03299999237060547
0.0,1.2748576343542812,36.0,32.0,0.04999995231628418
0.0,1.1194903380020393,40.0,36.0,0.07800006866455078
0.0,1.4539673786790384,30.0,26.0,0.04200005531311035
0.0,1.9471055328951397,38.0,34.0,0.054000139236450195
0.0,1.072106503178662,34.0,30.0,0.05099987983703613
0.0,0.718602612999045,29.0,25.0,0.03900003433227539
0.0,0.6259060965471246,38.0,34.0,0.059999942779541016
0.0,1.0779946363218282,27.0,23.0,0.046000003814697266
1.0,0.013294943036754518,18.0,14.0,0.020999908447265625
1.0,0.018069823162753025,25.0,21.0,0.03600001335144043
0.0,0.7846070917806464,32.0,28.0,0.04500007629394531
0.0,0.5806827334185122,42.0,38.0,0.06399989128112793
0.0,1.4496591550074587,35.0,31.0,0.04999995231628418
0.0,0.40103110583678325,41.0,37.0,0.053999900817871094
0.0,1.4401909340250365,36.0,32.0,0.06000018119812012
0.0,0.6812407631007656,46.0,42.0,0.06599998474121094
0.0,0.3196963321117722,36.0,32.0,0.04900002479553223
0.0,1.454865936683583,33.0,29.0,0.04999995231628418
0.0,1.1110900861950301,34.0,30.0,0.05000019073486328
0.0,0.41342914110865947,24.0,20.0,0.029999971389770508
0.0,0.9853108768423303,37.0,33.0,0.05299997329711914
0.0,0.14127477744230504,31.0,27.0,0.04399991035461426
0.0,0.31423023985591564,34.0,30.0,0.04800009727478027
0.0,0.2684326707320734,27.0,23.0,0.03600001335144043
0.0,0.7313858639925108,27.0,23.0,0.03800010681152344
0.0,0.5274506955237303,37.0,33.0,0.05800008773803711
0.0,0.8422954279318168,36.0,32.0,0.04999995231628418
0.0,1.2683747032384267,39.0,35.0,0.05900001525878906
0.0,0.5308115279529855,35.0,31.0,0.04900002479553223
0.0,0.21829224743661263,24.0,20.0,0.03399991989135742
0.0,0.6124208219726017,31.0,27.0,0.05200004577636719
0.0,2.0655975015642527,29.0,25.0,0.046000003814697266
0.0,0.09419876217061868,25.0,21.0,0.0280001163482666
0.0,0.9532276575365886,42.0,38.0,0.06800007820129395
0.0,0.2700942700938564,37.0,33.0,0.05799984931945801
0.0,1.6537462732414845,39.0,35.0,0.056999921798706055
0.0,0.7159826331336695,29.0,25.0,0.04700016975402832
0.0,0.179523010996457,33.0,29.0,0.05200004577636719
1.0,0.00037586066605913357,19.0,15.0,0.013000011444091797
0.0,1.2263256357291605,34.0,30.0,0.04999995231628418
0.0,0.39757365341420237,33.0,29.0,0.03399991989135742
0.0,1.279767207370396,35.0,31.0,0.06500005722045898
0.0,0.6525819469811263,34.0,30.0,0.0559999942779541
0.0,1.2179011789959064,45.0,41.0,0.06299996376037598
0.0,0.933706699976632,44.0,40.0,0.06399989128112793
0.0,0.2535856684506344,27.0,23.0,0.04700016975402832
0.0,0.5299323318438685,32.0,28.0,0.04500007629394531
0.0,0.026980357821473833,19.0,15.0,0.026000022888183594
0.0,0.7925665882066096,37.0,33.0,0.06299996376037598
0.0,0.3695320947881757,29.0,25.0,0.04200005531311035
0.0,0.22989933601225743,25.0,21.0,0.02200007438659668
0.0,0.9667584982652415,32.0,28.0,0.04999995231628418
1.0,2.10444965421568e-5,13.0,9.0,0.024000167846679688
0.0,0.7668667943306886,32.0,28.0,0.046000003814697266
0.0,0.49083457628765564,39.0,35.0,0.0559999942779541
0.0,0.6958594621768971,24.0,20.0,0.03500008583068848
0.0,0.6191330418247286,36.0,32.0,0.05200004577636719
0.0,1.6833021015324487,31.0,27.0,0.04399991035461426
0.0,0.6155100176728392,37.0,33.0,0.053999900817871094
0.0,0.294219026880316,25.0,21.0,0.02500009536743164
0.0,0.27396050339788597,35.0,31.0,0.06699991226196289
0.0,0.692315920243616,40.0,36.0,0.06500005722045898
0.0,1.40162145333233,30.0,26.0,0.046000003814697266
0.0,0.42943035169037264,27.0,23.0,0.03699994087219238
0.0,1.0574140742398659,37.0,33.0,0.0559999942779541
0.0,0.32696899729502277,31.0,27.0,0.046000003814697266
0.0,0.43186804679290464,26.0,22.0,0.0279998779296875
0.0,0.6414480345417181,28.0,24.0,0.04800009727478027
0.0,1.0894618957271753,31.0,27.0,0.04999995231628418
0.0,0.0851217781741094,22.0,18.0,0.03600001335144043
0.0,1.2325774564381458,35.0,31.0,0.05299997329711914
1.0,0.0019859092375122886,14.0,10.0,0.012000083923339844
0.0,0.5655264349354001,31.0,27.0,0.048999786376953125
0.0,0.774595175849412,39.0,35.0,0.06500005722045898
0.0,0.427227293188978,30.0,26.0,0.04999995231628418
0.0,1.1659847324844919,28.0,24.0,0.03800010681152344
0.0,0.8746040730594942,35.0,31.0,0.04200005531311035
0.0,1.0487596525766305,36.0,32.0,0.04999995231628418
0.0,0.843336340152277,32.0,28.0,0.04999995231628418
0.0,0.20375300777396865,29.0,25.0,0.04500007629394531
0.0,1.7886024535967011,31.0,27.0,0.04999995231628418
0.0,0.8247834420476142,29.0,25.0,0.03800010681152344
0.0,1.3250796253780361,38.0,34.0,0.04900002479553223
0.0,1.7466484475248794,43.0,39.0,0.06699991226196289
1.0,0.005615405857495843,9.0,5.0,0.017000198364257812
0.0,0.17522886826250558,31.0,27.0,0.031999826431274414
0.0,1.028082355220681,34.0,30.0,0.06700015068054199
0.0,1.1140081189506306,26.0,22.0,0.03299999237060547
0.0,0.7771315016161893,23.0,19.0,0.04399991035461426
0.0,0.10255057914999413,29.0,25.0,0.042999982833862305
0.0,0.9201805410575764,35.0,31.0,0.05299997329711914
0.0,0.46293228062040365,32.0,28.0,0.04699993133544922
0.0,1.6121199662266457,36.0,32.0,0.05200004577636719
0.0,0.7948633406987903,38.0,34.0,0.05500006675720215
0.0,0.8343789539051011,32.0,28.0,0.05099987983703613
0.0,0.42413483648994077,34.0,30.0,0.04900002479553223
0.0,0.4454999704689594,25.0,21.0,0.0409998893737793
0.0,0.12058131252735405,23.0,19.0,0.031999826431274414
0.0,0.5793158353082901,33.0,29.0,0.04900002479553223
0.0,0.7124787931098344,31.0,27.0,0.042999982833862305
0.0,1.261745940664533,35.0,31.0,0.05800008773803711
0.0,0.6422969359043912,26.0,22.0,0.023999929428100586
0.0,1.2140306851081868,35.0,31.0,0.04900002479553223
0.0,1.1226370099527527,33.0,29.0,0.04999995231628418
0.0,0.9490686269347032,42.0,38.0,0.0710000991821289
0.0,2.192731554719929,31.0,27.0,0.04900002479553223
0.0,0.919107840693551,42.0,38.0,0.059999942779541016
0.0,0.7091680068858656,31.0,27.0,0.04199981689453125
0.0,0.5628971999997936,37.0,33.0,0.05499982833862305
0.0,0.9189618727263068,31.0,27.0,0.04200005531311035
0.0,0.5119317135690259,26.0,22.0,0.026999950408935547
0.0,0.49065093210521893,39.0,35.0,0.07299995422363281
0.0,0.09348326493194319,24.0,20.0,0.023999929428100586
0.0,0.6572411712780817,28.0,24.0,0.04500007629394531
0.0,1.9052942460554967,38.0,34.0,0.053999900817871094
0.0,0.07091640240639004,17.0,13.0,0.023000001907348633
0.0,0.41421111270616573,20.0,16.0,0.023999929428100586
0.0,1.3871693483742038,33.0,29.0,0.03699994087219238
0.0,0.34305684926428764,29.0,25.0,0.054000139236450195
0.0,1.53338168006317,30.0,26.0,0.04699993133544922
0.0,1.9664456865910276,37.0,33.0,0.056999921798706055
0.0,0.28274089741847147,32.0,28.0,0.04399991035461426
0.0,0.4957280808728815,28.0,24.0,0.03900003433227539
0.0,1.5082850955218496,37.0,33.0,0.051999807357788086
0.0,1.0884766785234417,39.0,35.0,0.06699991226196289
0.0,0.24914639399458138,40.0,36.0,0.0710000991821289
0.0,0.23342853309460337,31.0,27.0,0.04800009727478027
0.0,1.4846081633249524,40.0,36.0,0.06100010871887207
1.0,0.007508190076886756,20.0,16.0,0.016000032424926758
0.0,0.7711044581690057,28.0,24.0,0.04999995231628418
0.0,0.5284992755409347,22.0,18.0,0.031000137329101562
0.0,0.05208046461417813,20.0,16.0,0.032000064849853516
0.0,1.1560183700297075,37.0,33.0,0.051000118255615234
0.0,0.13774623283483967,28.0,24.0,0.031000137329101562
0.0,0.8418717515547927,35.0,31.0,0.05099987983703613
0.0,1.488906350411761,34.0,30.0,0.04900002479553223
0.0,0.564709748077464,31.0,27.0,0.04500007629394531
0.0,0.28822117687218,33.0,29.0,0.05500006675720215
0.0,0.25391159661597934,32.0,28.0,0.042999982833862305
0.0,1.2788205725517732,30.0,26.0,0.039999961853027344
0.0,0.8875196931059502,41.0,37.0,0.06500005722045898
0.0,0.6056201530265573,36.0,32.0,0.04900002479553223
0.0,0.5058062740329691,36.0,32.0,0.04999995231628418
0.0,1.9360230414446806,31.0,27.0,0.05299997329711914
0.0,0.7432282460089684,28.0,24.0,0.04700016975402832
0.0,1.3234902138247504,37.0,33.0,0.04999995231628418
0.0,1.4758800258014029,37.0,33.0,0.05099987983703613
0.0,0.49955148110575015,24.0,20.0,0.04400014877319336
0.0,0.157032879712176,27.0,23.0,0.03600001335144043
0.0,0.583541426542618,41.0,37.0,0.06799983978271484
0.0,1.6479602404860922,39.0,35.0,0.07599997520446777
0.0,0.7777029916696404,37.0,33.0,0.06199979782104492
0.0,0.851681954542876,30.0,26.0,0.04499983787536621
0.0,1.0150305326467426,31.0,27.0,0.046000003814697266
1.0,0.00039563885694455614,15.0,11.0,0.016000032424926758
0.0,0.7671010486062116,41.0,37.0,0.07299995422363281
0.0,1.2600645535067934,34.0,30.0,0.04799985885620117
0.0,0.7581042705442125,36.0,32.0,0.051999807357788086
0.0,1.3952295076856946,28.0,24.0,0.023999929428100586
0.0,1.1696313697370109,29.0,25.0,0.06599998474121094
0.0,1.0916618322078122,33.0,29.0,0.07300019264221191
0.0,0.03146913921297745,19.0,15.0,0.03500008583068848
1.0,0.00010715538658163002,19.0,15.0,0.023000001907348633
0.0,1.4666156551428722,30.0,26.0,0.04399991035461426
0.0,1.035351974959105,35.0,31.0,0.048999786376953125
0.0,2.598716764352186,34.0,30.0,0.04799985885620117
0.0,1.4434455924821072,39.0,35.0,0.0559999942779541
0.0,0.3795059378522735,29.0,25.0,0.046000003814697266
0.0,0.893098482087551,38.0,34.0,0.05299997329711914
0.0,0.8163567016026151,36.0,32.0,0.04999995231628418
0.0,1.2670091883052264,35.0,31.0,0.06700015068054199
0.0,0.2573496201655677,37.0,33.0,0.056999921798706055
0.0,1.3872635372150297,31.0,27.0,0.042999982833862305
0.0,0.13070740662309288,20.0,16.0,0.023999929428100586
0.0,0.7798044566031074,34.0,30.0,0.05499982833862305
0.0,2.2559082399997483,37.0,33.0,0.04999995231628418
0.0,0.4607640467270413,37.0,33.0,0.05000019073486328
1.0,0.005312103292523354,14.0,10.0,0.017999887466430664
0.0,1.2594528546607455,33.0,29.0,0.054000139236450195
0.0,0.7714629856578106,36.0,32.0,0.053999900817871094
0.0,1.0316953256423553,38.0,34.0,0.05800008773803711
0.0,0.38373680758629164,33.0,29.0,0.04699993133544922
0.0,1.416438354052722,28.0,24.0,0.051000118255615234
0.0,0.15908452139610613,28.0,24.0,0.0409998893737793
0.0,0.9743832313640066,29.0,25.0,0.0409998893737793
0.0,0.20892913801567203,27.0,23.0,0.03600001335144043
0.0,0.9436839698186962,36.0,32.0,0.056999921798706055
0.0,1.216848070045291,29.0,25.0,0.03900003433227539
0.0,0.3161354620198551,25.0,21.0,0.03000020980834961
0.0,1.0990819988121787,36.0,32.0,0.04999995231628418
0.0,0.5027264555074741,35.0,31.0,0.04999995231628418
0.0,0.16823747215637383,28.0,24.0,0.03699994087219238
0.0,0.10240785890770877,27.0,23.0,0.03699994087219238
0.0,0.26613387049363185,29.0,25.0,0.04699993133544922
0.0,0.7265938299995792,31.0,27.0,0.04500007629394531
0.0,0.576642881839072,31.0,27.0,0.04699993133544922
0.0,0.5094146891941829,33.0,29.0,0.05099987983703613
0.0,0.34142310070613247,34.0,30.0,0.054000139236450195
