Quantile (0 is mean),p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,0.9748,0.0012272881280966958,11.988,7.988,0.013359800291061402
0.95,NaN,8.653615672638583e-6,23.0,19.0,0.03600001335144043
