p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
1.0,0.0,12.0,8.0,0.016000032424926758
1.0,0.0,24.0,20.0,0.032000064849853516
1.0,3.1664179948948e-6,10.0,6.0,0.017999887466430664
1.0,0.0,11.0,7.0,0.010999917984008789
0.0,0.013245128540137676,26.0,22.0,0.03699994087219238
1.0,0.0,25.0,21.0,0.032000064849853516
1.0,0.0,27.0,23.0,0.04399991035461426
0.0,0.0014696875467613596,29.0,25.0,0.03900003433227539
1.0,0.0,12.0,8.0,0.01399993896484375
1.0,0.0,15.0,11.0,0.01900005340576172
0.0,0.0017822044785262513,22.0,18.0,0.028999805450439453
1.0,0.0,21.0,17.0,0.0280001163482666
1.0,0.0,14.0,10.0,0.017999887466430664
1.0,0.0,23.0,19.0,0.028999805450439453
0.0,0.0023968916396515487,32.0,28.0,0.04399991035461426
0.0,0.006197355530793149,33.0,29.0,0.05200004577636719
0.0,0.2057538928210081,40.0,36.0,0.05799984931945801
0.0,0.018987814154758656,22.0,18.0,0.016000032424926758
0.0,0.09562432057663581,42.0,38.0,0.07599997520446777
0.0,0.035371776768937276,39.0,35.0,0.0559999942779541
0.0,0.031305120114820735,29.0,25.0,0.039999961853027344
1.0,0.0,15.0,11.0,0.009999990463256836
0.0,0.015224727202910375,24.0,20.0,0.05099987983703613
0.0,0.06876359218290681,37.0,33.0,0.057000160217285156
0.0,0.21140914209558168,36.0,32.0,0.05299997329711914
1.0,0.0,14.0,10.0,0.016000032424926758
1.0,0.0,12.0,8.0,0.01900005340576172
0.0,0.07479590237214179,37.0,33.0,0.06200003623962402
0.0,0.023018712493978973,31.0,27.0,0.048999786376953125
1.0,0.0,5.0,1.0,0.0009999275207519531
0.0,0.059917439217790386,27.0,23.0,0.04999995231628418
1.0,3.7213300293383035e-6,23.0,19.0,0.046000003814697266
1.0,0.0,31.0,27.0,0.04999995231628418
0.0,0.009886712619267568,23.0,19.0,0.01900005340576172
0.0,0.0012093711960521434,34.0,30.0,0.06599998474121094
1.0,0.0,13.0,9.0,0.017999887466430664
0.0,0.015572075241200354,34.0,30.0,0.06800007820129395
1.0,0.0,15.0,11.0,0.02200007438659668
1.0,0.0,5.0,1.0,0.002000093460083008
1.0,0.0,5.0,1.0,0.002000093460083008
1.0,7.878837756469968e-6,17.0,13.0,0.026000022888183594
1.0,0.0,19.0,15.0,0.024000167846679688
1.0,0.0,12.0,8.0,0.029999971389770508
1.0,0.0,5.0,1.0,0.0009999275207519531
0.0,0.0618704982239899,46.0,42.0,0.06599998474121094
0.0,0.030352878008794295,34.0,30.0,0.0560002326965332
1.0,0.0,18.0,14.0,0.01399993896484375
1.0,0.0,17.0,13.0,0.03600001335144043
0.0,0.04734992718640288,34.0,30.0,0.05200004577636719
0.0,0.09491481743408406,52.0,48.0,0.10000014305114746
0.0,0.15559306994022196,43.0,39.0,0.07399988174438477
0.0,0.06253376012273981,44.0,40.0,0.07800006866455078
1.0,9.319883230813406e-6,17.0,13.0,0.021000146865844727
0.0,0.1446978136740522,42.0,38.0,0.0709998607635498
0.0,0.0029924849261056445,25.0,21.0,0.0279998779296875
0.0,0.12631003037281838,47.0,43.0,0.10000014305114746
1.0,0.0,14.0,10.0,0.025999784469604492
0.0,0.0603410949676879,40.0,36.0,0.0709998607635498
1.0,0.0,5.0,1.0,0.002000093460083008
0.0,0.010390579456857077,37.0,33.0,0.06399989128112793
1.0,0.0,19.0,15.0,0.02700018882751465
0.0,0.0031954805112556902,37.0,33.0,0.056999921798706055
0.0,0.01457165499127754,39.0,35.0,0.07899999618530273
0.0,0.17084479935930624,39.0,35.0,0.0559999942779541
0.0,0.04736534789681694,26.0,22.0,0.03500008583068848
1.0,0.0,5.0,1.0,0.0019998550415039062
0.0,0.00012308549655849765,33.0,29.0,0.046000003814697266
0.0,0.003513589123265222,30.0,26.0,0.029000043869018555
0.0,0.04130072887962512,31.0,27.0,0.04999995231628418
0.0,0.10984682424709352,50.0,46.0,0.09599995613098145
0.0,0.0044313866782148765,37.0,33.0,0.05299997329711914
1.0,0.0,21.0,17.0,0.03099989891052246
0.0,0.09668929618538143,43.0,39.0,0.06400012969970703
0.0,0.07093061991942298,33.0,29.0,0.04799985885620117
1.0,0.0,15.0,11.0,0.006000041961669922
0.0,0.035779459129671745,37.0,33.0,0.07299995422363281
1.0,0.0,11.0,7.0,0.010999917984008789
0.0,0.005928714119244424,29.0,25.0,0.039999961853027344
1.0,0.0,12.0,8.0,0.013000011444091797
0.0,0.10001859172042556,43.0,39.0,0.06000018119812012
1.0,0.0,13.0,9.0,0.023999929428100586
1.0,0.0,5.0,1.0,0.0010001659393310547
1.0,0.0,15.0,11.0,0.01699995994567871
0.0,0.22800664907642926,44.0,40.0,0.06999993324279785
