Quantile (0 is mean),p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,0.0706,0.7867870009170302,31.3078,27.3078,0.04618139810562134
0.95,NaN,1.8153292569036765,40.0,36.0,0.06700015068054199
