Quantile (0 is mean),p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,0.64,0.05813298861040345,3.932,2.932,0.004456001043319702
0.95,NaN,0.36326696506908557,8.0,7.0,0.018999814987182617
