Quantile (0 is mean),p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
0.0,0.8695,0.03566755220354292,2.549,1.549,0.00241499924659729
0.95,NaN,0.21316625227530833,6.0,5.0,0.014999866485595703
