p0_opt,Subopt_p0,sseqs_used,number_iters,runtime
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.4585808764664527,7.0,6.0,0.02200007438659668
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.09777706924366562,8.0,7.0,0.010999917984008789
0.0,0.31888421825792457,6.0,5.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.03655432300353269,8.0,7.0,0.016000032424926758
0.0,0.1910800869881559,9.0,8.0,0.01900005340576172
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.26391901006877205,7.0,6.0,0.009000062942504883
1.0,0.0,2.0,1.0,0.0
0.0,0.1425805304860691,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.09831044779374924,7.0,6.0,0.020999908447265625
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.000480054123495723,7.0,6.0,0.009000062942504883
0.0,0.15545846164285704,7.0,6.0,0.007999897003173828
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.010747777657314446,8.0,7.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.015999794006347656
0.0,0.023152950410234168,7.0,6.0,0.00800013542175293
0.0,0.23342862393037853,7.0,6.0,0.006999969482421875
0.0,0.07128098727774744,7.0,6.0,0.008999824523925781
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.009574255793856555,8.0,7.0,0.0
1.0,0.0,2.0,1.0,0.01699995994567871
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.030264601838253562,6.0,5.0,0.006000041961669922
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.013149383763554415,6.0,5.0,0.006999969482421875
0.0,0.3473458238200614,8.0,7.0,0.006999969482421875
1.0,0.0,2.0,1.0,0.0
0.0,0.026047425493008473,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.01699995994567871
0.0,0.3658293540633383,7.0,6.0,0.009000062942504883
0.0,0.011371093523616455,9.0,8.0,0.013000011444091797
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.16064951504421496,7.0,6.0,0.003999948501586914
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.016000032424926758
0.0,0.030076023989258724,6.0,5.0,0.006999969482421875
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.36891608316784136,7.0,6.0,0.009999990463256836
0.0,0.03728627041586991,5.0,4.0,0.0
0.0,0.0020445619722995294,7.0,6.0,0.032000064849853516
0.0,0.45711657714755144,6.0,5.0,0.00800013542175293
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.28429221821233547,7.0,6.0,0.009000062942504883
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.47483441791783343,7.0,6.0,0.00800013542175293
0.0,0.0481183778769106,6.0,5.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.45599391140892936,7.0,6.0,0.023999929428100586
0.0,0.1509614523051194,9.0,8.0,0.010999917984008789
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.04008871695871136,8.0,7.0,0.009000062942504883
0.0,0.04028809089816562,7.0,6.0,0.003999948501586914
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.5658759191048591,7.0,6.0,0.023999929428100586
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0029997825622558594
0.0,0.14833859588131143,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.06646129492040222,6.0,5.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.076649080598565,9.0,8.0,0.02500009536743164
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.16542485175108457,8.0,7.0,0.01100015640258789
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.07039718754284438,8.0,7.0,0.009999990463256836
0.0,0.17693076203137015,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.037976945056214184,8.0,7.0,0.023000001907348633
0.0,0.012012100058092851,7.0,6.0,0.00800013542175293
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.013672797499546682,7.0,6.0,0.00800013542175293
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.024933873175541774,5.0,4.0,0.005000114440917969
0.0,0.11041935525108815,8.0,7.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0
0.0,0.04902294008311476,10.0,9.0,0.02500009536743164
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.04703651048192441,8.0,7.0,0.008999824523925781
0.0,0.0583587738691317,8.0,7.0,0.006000041961669922
0.0,0.2801480263541269,7.0,6.0,0.0
0.0,0.016866450248378354,8.0,7.0,0.023999929428100586
0.0,0.14583089876340166,7.0,6.0,0.007999897003173828
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.022331414258687003,7.0,6.0,0.004999876022338867
0.0,0.22632090988148754,6.0,5.0,0.0
0.0,0.21555045932602096,7.0,6.0,0.023000001907348633
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.2598550515928534,7.0,6.0,0.00800013542175293
1.0,0.0,2.0,1.0,0.003000020980834961
0.0,0.023978409086758065,6.0,5.0,0.006999969482421875
0.0,0.0960218435627901,5.0,4.0,0.006000041961669922
0.0,0.4234781606531293,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.023000001907348633
0.0,0.30222622605232896,8.0,7.0,0.010999917984008789
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.03455068229671092,7.0,6.0,0.0070002079010009766
1.0,0.0,2.0,1.0,0.0
0.0,0.006338444630037605,10.0,9.0,0.0
0.0,0.21543691383639094,7.0,6.0,0.026999950408935547
0.0,0.0745024973445629,9.0,8.0,0.009000062942504883
1.0,0.0,2.0,1.0,0.0
0.0,0.19819185483338292,8.0,7.0,0.014999866485595703
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.01820456803686949,9.0,8.0,0.01900005340576172
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.03500956950551657,7.0,6.0,0.007999897003173828
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.3105679917965451,7.0,6.0,0.00800013542175293
0.0,0.1067360365635011,8.0,7.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.03995457412132974,5.0,4.0,0.006000041961669922
0.0,0.20638951047929244,7.0,6.0,0.006999969482421875
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.059205218859770196,7.0,6.0,0.008999824523925781
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.004639191516435863,8.0,7.0,0.007999897003173828
0.0,0.18914539359654153,7.0,6.0,0.0
0.0,0.21385339259559955,7.0,6.0,0.021000146865844727
0.0,0.04822318063769306,8.0,7.0,0.009000062942504883
0.0,0.6463337365389485,7.0,6.0,0.009999990463256836
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.20684552035821374,7.0,6.0,0.004000186920166016
1.0,0.0,2.0,1.0,0.0
0.0,0.15550228010727082,6.0,5.0,0.0
0.0,0.22450148545571605,8.0,7.0,0.017999887466430664
0.0,0.3004447466171278,9.0,8.0,0.023999929428100586
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.003000020980834961
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.015000104904174805
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.01471703125613346,8.0,7.0,0.007999897003173828
0.0,0.2773676791230525,7.0,6.0,0.016000032424926758
0.0,0.18346051689503942,7.0,6.0,0.01399993896484375
1.0,0.0,2.0,1.0,0.003000020980834961
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.6491464008240254,8.0,7.0,0.00800013542175293
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.003000020980834961
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.07282068707750126,7.0,6.0,0.007999897003173828
1.0,0.0,2.0,1.0,0.0
0.0,0.012163615098518274,8.0,7.0,0.0
0.0,0.011080725468795703,9.0,8.0,0.032000064849853516
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.0016534482750179735,7.0,6.0,0.006999969482421875
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.0037755655668429925,9.0,8.0,0.00599980354309082
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.041893984627903204,8.0,7.0,0.021000146865844727
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0009999275207519531
0.0,0.027099718755564887,5.0,4.0,0.005000114440917969
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.08285419085016967,7.0,6.0,0.009000062942504883
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.002000093460083008
0.0,0.12595720788818032,8.0,7.0,0.002000093460083008
0.0,0.03686605856988619,6.0,5.0,0.01699995994567871
1.0,0.0,2.0,1.0,0.0019998550415039062
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
0.0,0.060622214568098166,8.0,7.0,0.010999917984008789
1.0,0.0,2.0,1.0,0.002000093460083008
1.0,0.0,2.0,1.0,0.0009999275207519531
1.0,0.0,2.0,1.0,0.0010001659393310547
1.0,0.0,2.0,1.0,0.0019998550415039062
0.0,0.020555743645064607,9.0,8.0,0.009999990463256836
0.0,0.0117943240166724,7.0,6.0,0.0
1.0,0.0,2.0,1.0,0.0
0.0,0.006788755081610953,9.0,8.0,0.023999929428100586
0.0,0.6639679813139405,6.0,5.0,0.0070002079010009766
0.0,0.06250927317533085,6.0,5.0,0.003000020980834961
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.0
1.0,0.0,2.0,1.0,0.01399993896484375
0.0,0.031376273044303106,7.0,6.0,0.0
